ID NO, Season Year, Player Name, Season Year
8482,Allen Leavell,0.316,1987
8489,John Lucas,0.365,1987
8491,Kyle Macy,0.304,1987
8496,Pace Mannion,0.333,1987
8500,Wes Matthews,0.333,1987
8510,Mike McGee,0.376,1987
8512,Kevin McKenna,0.419,1987
8513,Forrest McKenzie,0.5,1987
8520,Dirk Minniefield,0.324,1987
8521,Mike Mitchell,0.5,1987
8526,Chris Mullin*,0.302,1987
8539,Charles Oakley,0.367,1987
8546,John Paxson,0.371,1987
8547,Sam Perkins,0.352,1987
8548,Chuck Person,0.355,1987
8560,Mark Price,0.329,1987
8563,Robert Reid,0.327,1987
8564,Jerry Reynolds,0.333,1987
8565,Clint Richardson,0.353,1987
8574,Ron Rowan,1,1987
8582,Detlef Schrempf,0.478,1987
8584,Byron Scott,0.436,1987
8585,Carey Scurry,0.308,1987
8594,Keith Smith,0.333,1987
8599,Terence Stansbury,0.379,1987
8600,Brook Steppe,0.333,1987
8603,Jon Sundvold,0.336,1987
8604,Roy Tarpley,0.333,1987
8613,Mychal Thompson,0.5,1987
8614,Mychal Thompson,1,1987
8619,Sedale Threatt,0.438,1987
8622,Andrew Toney,0.328,1987
8623,Kelly Tripucka,0.365,1987
8624,Trent Tucker,0.422,1987
8629,Terry Tyler,0.333,1987
8631,Kiki Vandeweghe,0.481,1987
8644,Marvin Webster,1,1987
8645,Scott Wedman,0.5,1987
8654,Gerald Wilkins,0.351,1987
8669,Randy Wittman,0.333,1987
8676,Danny Young,0.367,1987
8683,Alvan Adams,0.5,1988
8684,Michael Adams,0.367,1988
8685,Mark Aguirre,0.302,1988
8686,Danny Ainge,0.415,1988
8690,Richard Anderson,0.32,1988
8691,Richard Anderson,0.4,1988
8692,Richard Anderson,0.311,1988
8698,Thurl Bailey,0.333,1988
8700,John Battle,0.39,1988
8705,Larry Bird*,0.414,1988
8706,Otis Birdsong,0.36,1988
8712,Dudley Bradley,0.363,1988
8714,Dudley Bradley,0.366,1988
8722,Tony Campbell,0.333,1988
8723,Rick Carlisle,0.353,1988
8730,Tom Chambers,0.303,1988
8735,Norris Coleman,0.5,1988
8742,Michael Cooper,0.32,1988
8746,Tyrone Corbin,0.333,1988
8750,Terry Cummings,0.333,1988
8752,Dell Curry,0.346,1988
8756,Brad Davis,0.405,1988
8760,Walter Davis,0.375,1988
8764,Johnny Dawkins,0.311,1988
8780,Craig Ehlo,0.344,1988
8781,Dale Ellis,0.413,1988
8784,Mike Evans,0.396,1988
8796,Winston Garland,0.333,1988
8814,Bob Hansen,0.33,1988
8816,Derek Harper,0.313,1988
8821,Scott Hastings,0.417,1988
8823,Gerald Henderson,0.423,1988
8824,Gerald Henderson,0.5,1988
8825,Gerald Henderson,0.421,1988
8829,Conner Henry,0.444,1988
8830,Conner Henry,0.375,1988
8831,Conner Henry,0.333,1988
8832,Conner Henry,0.484,1988
8833,Rod Higgins,0.487,1988
8837,Craig Hodges,0.491,1988
8838,Craig Hodges,0.466,1988
8839,Craig Hodges,0.544,1988
8871,Albert King,0.347,1988
8880,Bill Laimbeer,0.333,1988
8884,Cliff Levingston,0.5,1988
8887,Alton Lister,0.5,1988
8889,John Long,0.442,1988
8890,John Lucas,0.338,1988
8892,Rick Mahorn,0.5,1988
8893,Jeff Malone,0.417,1988
8907,Mike McGee,0.331,1988
8909,Mike McGee,0.34,1988
8911,Kevin McKenna,0.32,1988
8912,Derrick McKey,0.367,1988
8913,Nate McMillan,0.375,1988
8916,Reggie Miller*,0.355,1988
8932,Chris Mullin*,0.351,1988
8937,Larry Nance,0.333,1988
8938,Larry Nance,0.4,1988
8941,Ed Nealy,0.5,1988
8956,Jim Paxson,0.375,1988
8958,John Paxson,0.347,1988
8960,Chuck Person,0.333,1988
8967,Terry Porter,0.348,1988
8969,Harold Pressley,0.327,1988
8970,Mark Price,0.486,1988
8973,Robert Reid,0.382,1988
8975,Jerry Reynolds,0.429,1988
8988,Ralph Sampson*,0.333,1988
8996,Byron Scott,0.346,1988
8997,Carey Scurry,0.375,1988
8998,Carey Scurry,0.375,1988
9002,Jerry Sichting,0.455,1988
9004,Jerry Sichting,0.571,1988
9007,Derek Smith,0.348,1988
9008,Kenny Smith,0.308,1988
9010,Otis Smith,0.317,1988
9012,Otis Smith,0.317,1988
9018,John Stockton*,0.358,1988
9020,Jon Sundvold,0.406,1988
9024,Isiah Thomas*,0.309,1988
9027,LaSalle Thompson,0.4,1988
9040,Andrew Toney,0.333,1988
9041,Sedric Toney,0.357,1988
9042,Kelly Tripucka,0.419,1988
9043,Trent Tucker,0.413,1988
9046,Melvin Turpin,0.333,1988
9048,Darnell Valentine,0.455,1988
9049,Kiki Vandeweghe,0.379,1988
9051,Sam Vincent,0.381,1988
9052,Sam Vincent,0.385,1988
9053,Sam Vincent,0.375,1988
9064,Duane Washington,0.5,1988
9069,Bill Wennington,0.5,1988
9075,Eric White,1,1988
9082,Gerald Wilkins,0.302,1988
9083,Buck Williams,1,1988
9091,Ricky Wilson,0.385,1988
9092,Ricky Wilson,1,1988
9093,Ricky Wilson,0.36,1988
9098,Leon Wood,0.409,1988
9099,Leon Wood,0.398,1988
9100,Leon Wood,0.474,1988
9109,Mark Acres,1,1989
9110,Michael Adams,0.356,1989
9114,Danny Ainge,0.38,1989
9115,Danny Ainge,0.374,1989
9116,Danny Ainge,0.387,1989
9117,Mark Alarie,0.342,1989
9118,Steve Alford,0.364,1989
9120,Steve Alford,0.377,1989
9124,Richard Anderson,0.348,1989
9128,Thurl Bailey,0.4,1989
9132,John Battle,0.324,1989
9134,Ricky Berry,0.406,1989
9135,Walter Berry,0.5,1989
9137,Walter Berry,0.5,1989
9139,Otis Birdsong,0.333,1989
9141,Rolando Blackman,0.353,1989
9145,Sam Bowie,0.714,1989
9150,Scott Brooks,0.359,1989
9164,Tom Chambers,0.326,1989
9166,Rex Chapman,0.314,1989
9172,Lester Conner,0.351,1989
9176,Michael Cooper,0.381,1989
9182,Terry Cummings,0.467,1989
9184,Dell Curry,0.345,1989
9189,Brad Daugherty,0.333,1989
9190,Brad Davis,0.314,1989
9205,Joe Dumars*,0.483,1989
9206,Mike Dunleavy,0.5,1989
9212,Craig Ehlo,0.39,1989
9213,Dale Ellis,0.478,1989
9217,Jim Farmer,0.45,1989
9222,Sleepy Floyd,0.373,1989
9224,Anthony Frederick,0.4,1989
9245,Rickey Green,0.333,1989
9250,Darrell Griffith,0.311,1989
9253,Bob Hansen,0.352,1989
9255,Derek Harper,0.356,1989
9258,Scott Hastings,0.321,1989
9259,Hersey Hawkins,0.428,1989
9260,Gerald Henderson,0.308,1989
9261,Rod Higgins,0.393,1989
9263,Craig Hodges,0.417,1989
9264,Craig Hodges,0.333,1989
9265,Craig Hodges,0.423,1989
9267,Dave Hoppen,0.5,1989
9270,Jeff Hornacek,0.333,1989
9272,Eddie Hughes,0.318,1989
9275,Mark Jackson,0.338,1989
9276,Michael Jackson,0.333,1989
9280,Eddie Johnson,0.413,1989
9283,Magic Johnson*,0.314,1989
9292,Charles Jones,0.333,1989
9299,Steve Kerr,0.471,1989
9312,Larry Krystkowiak,0.333,1989
9313,Bill Laimbeer,0.349,1989
9314,Jeff Lamp,0.5,1989
9321,Fat Lever,0.348,1989
9323,Ralph Lewis,0.333,1989
9331,John Long,0.4,1989
9332,John Long,0.4,1989
9337,Dan Majerle,0.329,1989
9339,Karl Malone*,0.313,1989
9348,Xavier McDaniel,0.306,1989
9350,Mike McGee,0.365,1989
9352,Derrick McKey,0.337,1989
9355,Reggie Miller*,0.402,1989
9360,Sidney Moncrief,0.342,1989
9361,Chris Morris,0.366,1989
9373,Craig Neal,0.32,1989
9378,Johnny Newman,0.338,1989
9386,John Paxson,0.331,1989
9390,Chuck Person,0.307,1989
9401,Terry Porter,0.361,1989
9406,Harold Pressley,0.403,1989
9407,Mark Price,0.441,1989
9410,Robert Reid,0.327,1989
9412,Mitch Richmond*,0.367,1989
9415,Doc Rivers,0.347,1989
9428,Brian Rowsom,1,1989
9430,Ralph Sampson*,0.375,1989
9432,Danny Schayes,0.333,1989
9433,Russ Schoene,0.382,1989
9437,Byron Scott,0.399,1989
9439,Brad Sellers,0.5,1989
9445,Jack Sikma,0.38,1989
9452,Kenny Smith,0.359,1989
9458,John Starks,0.385,1989
9460,Brook Steppe,0.556,1989
9462,Rod Strickland,0.322,1989
9467,Jon Sundvold,0.522,1989
9479,Bob Thornton,0.333,1989
9481,Sedale Threatt,0.367,1989
9488,Kelly Tripucka,0.357,1989
9489,Trent Tucker,0.399,1989
9497,Kiki Vandeweghe,0.396,1989
9498,Kiki Vandeweghe,0.421,1989
9500,Jay Vincent,0.333,1989
9501,Jay Vincent,0.5,1989
9536,David Wingate,0.333,1989
9537,Randy Wittman,0.5,1989
9538,Randy Wittman,0.5,1989
9539,Randy Wittman,0.5,1989
9542,Mike Woodson,0.348,1989
9545,Danny Young,0.34,1989
9547,Mark Acres,0.75,1990
9548,Michael Adams,0.366,1990
9549,Mark Aguirre,0.333,1990
9550,Danny Ainge,0.374,1990
9552,Steve Alford,0.318,1990
9556,Richard Anderson,0.37,1990
9560,B.J. Armstrong,0.5,1990
9565,Dana Barros,0.399,1990
9571,Larry Bird*,0.333,1990
9575,Rolando Blackman,0.302,1990
9580,Sam Bowie,0.323,1990
9581,Adrian Branch,1,1990
9586,Scott Brooks,0.392,1990
9588,Mike Brown,0.5,1990
9609,Rex Chapman,0.331,1990
9612,Maurice Cheeks,0.429,1990
9613,Derrick Chievous,0.333,1990
9614,Derrick Chievous,0.375,1990
9619,Michael Cooper,0.318,1990
9625,Terry Cummings,0.322,1990
9626,Dell Curry,0.354,1990
9630,Brad Davis,0.337,1990
9634,Johnny Dawkins,0.333,1990
9635,Vinny Del,0.313,1990
9642,Larry Drew,0.395,1990
9648,Joe Dumars*,0.4,1990
9651,Ledell Eackles,0.322,1990
9657,Craig Ehlo,0.419,1990
9659,Dale Ellis,0.375,1990
9661,Alex English*,0.4,1990
9665,Vern Fleming,0.353,1990
9666,Sleepy Floyd,0.38,1990
9668,Corey Gaines,0.5,1990
9670,Winston Garland,0.333,1990
9672,Winston Garland,0.423,1990
9674,Kenny Gattison,1,1990
9690,Sidney Green,0.333,1990
9692,Darrell Griffith,0.372,1990
9698,Bob Hansen,0.351,1990
9701,Derek Harper,0.371,1990
9707,Hersey Hawkins,0.42,1990
9708,Gerald Henderson,0.447,1990
9709,Gerald Henderson,0.429,1990
9710,Gerald Henderson,0.452,1990
9714,Rod Higgins,0.347,1990
9716,Craig Hodges,0.481,1990
9719,Dennis Hopson,0.317,1990
9721,Jeff Hornacek,0.408,1990
9723,Eddie Hughes,0.408,1990
9725,Byron Irvin,0.357,1990
9728,Michael Jackson,0.5,1990
9732,Eddie Johnson,0.38,1990
9735,Magic Johnson*,0.384,1990
9736,Marques Johnson,0.667,1990
9742,Nate Johnston,1,1990
9744,Anthony Jones,0.308,1990
9747,Michael Jordan*,0.376,1990
9750,Steve Kerr,0.507,1990
9752,Randolph Keys,0.326,1990
9754,Randolph Keys,0.364,1990
9758,Greg Kite,1,1990
9763,Bill Laimbeer,0.361,1990
9774,Fat Lever,0.414,1990
9785,Brad Lohaus,0.343,1990
9787,Brad Lohaus,0.38,1990
9789,John Long,0.345,1990
9795,Karl Malone*,0.372,1990
9808,George McCloud,0.325,1990
9812,Mike McGee,0.348,1990
9813,Kevin McHale*,0.333,1990
9816,Nate McMillan,0.355,1990
9819,Reggie Miller*,0.414,1990
9823,Chris Morris,0.316,1990
9826,Chris Mullin*,0.372,1990
9827,Tod Murphy,0.372,1990
9831,Larry Nance,1,1990
9835,Johnny Newman,0.317,1990
9838,Ken Norman,0.438,1990
9844,Jose Ortiz,0.5,1990
9848,John Paxson,0.359,1990
9849,Kenny Payne,0.4,1990
9852,Tim Perry,1,1990
9853,Chuck Person,0.372,1990
9855,Drazen Petrovic*,0.459,1990
9856,Ricky Pierce,0.346,1990
9859,Olden Polynice,0.5,1990
9860,Terry Porter,0.374,1990
9862,Harold Pressley,0.311,1990
9863,Mark Price,0.406,1990
9870,Robert Reid,0.313,1990
9871,Robert Reid,0.333,1990
9872,Robert Reid,0.31,1990
9876,Mitch Richmond*,0.358,1990
9878,Doc Rivers,0.364,1990
9886,Scott Roth,0.346,1990
9888,Brian Rowsom,0.5,1990
9894,Mike Sanders,0.357,1990
9896,Detlef Schrempf,0.354,1990
9897,Byron Scott,0.423,1990
9909,Jack Sikma,0.342,1990
9910,Scott Skiles,0.394,1990
9913,Derek Smith,0.444,1990
9914,Kenny Smith,0.313,1990
9915,Kenny Smith,0.373,1990
9923,John Stockton*,0.416,1990
9928,Jon Sundvold,0.44,1990
9934,Isiah Thomas*,0.309,1990
9935,Billy Thompson,0.5,1990
