ID NO, Season Year, Player Name
8481,1987,Jim Lampley
8504,1987,Tim McCormick
8515,1987,Mark McNamara
8569,1987,Cliff Robinson
8575,1987,Jeff Ruland
8619,1987,Sedale Threatt
8622,1987,Andrew Toney
8636,1987,Danny Vranes
8668,1987,David Wingate
8695,1988,Vincent Askew
8699,1988,Charles Barkley*
8731,1988,Maurice Cheeks
8734,1988,Ben Coleman
8737,1988,Steve Colter
8803,1988,Mike Gminski
8822,1988,Dave Henderson
8825,1988,Gerald Henderson
8835,1988,Roy Hinson
8871,1988,Albert King
8902,1988,Tim McCormick
8914,1988,Mark McNamara
8979,1988,Cliff Robinson
9031,1988,Bob Thornton
9040,1988,Andrew Toney
9054,1988,Danny Vranes
9068,1988,Chris Welp
9094,1988,David Wingate
9125,1989,Ron Anderson
9131,1989,Charles Barkley*
9150,1989,Scott Brooks
9167,1989,Maurice Cheeks
9169,1989,Ben Coleman
9232,1989,Mike Gminski
9259,1989,Hersey Hawkins
9260,1989,Gerald Henderson
9296,1989,Shelton Jones
9365,1989,Pete Myers
9418,1989,Cliff Robinson
9427,1989,Jim Rowinski
9451,1989,Derek Smith
9479,1989,Bob Thornton
9508,1989,Chris Welp
9536,1989,David Wingate
9557,1990,Ron Anderson
9564,1990,Charles Barkley*
9586,1990,Scott Brooks
9621,1990,Lanard Copeland
9634,1990,Johnny Dawkins
9668,1990,Corey Gaines
9679,1990,Mike Gminski
9707,1990,Hersey Hawkins
9783,1990,Lewis Lloyd
9792,1990,Rick Mahorn
9836,1990,Kurt Nimphius
9849,1990,Kenny Payne
9905,1990,Dexter Shouse
9913,1990,Derek Smith
9938,1990,Bob Thornton
9960,1990,Jay Vincent
10020,1991,Ron Anderson
10030,1991,Charles Barkley*
10046,1991,Manute Bol
10101,1991,Johnny Dawkins
10123,1991,Mario Elie
10134,1991,Jim Farmer
10153,1991,Armen Gilliam
10156,1991,Mike Gminski
10167,1991,Rickey Green
10178,1991,Tony Harris
10180,1991,Hersey Hawkins
10191,1991,Dave Hoppen
10248,1991,Rick Mahorn
10295,1991,Brian Oliver
10300,1991,Kenny Payne
10327,1991,Robert Reid
10397,1991,Andre Turner
10420,1991,Jayson Williams
10460,1992,Ron Anderson
10463,1992,Michael Ansley
10477,1992,Charles Barkley*
10494,1992,Manute Bol
10557,1992,Johnny Dawkins
10604,1992,Armen Gilliam
10613,1992,Greg Grant
10630,1992,Hersey Hawkins
10643,1992,Dave Hoppen
10716,1992,Tharon Mayes
10750,1992,Brian Oliver
10757,1992,Kenny Payne
10805,1992,Jeff Ruland
10822,1992,Charles Shackleford
10880,1992,Mitchell Wiggins
10890,1992,Jayson Williams
10923,1993,Ron Anderson
10954,1993,Manute Bol
11008,1993,Johnny Dawkins
11049,1993,Armen Gilliam
11056,1993,Greg Grant
11075,1993,Hersey Hawkins
11083,1993,Jeff Hornacek
11107,1993,Thomas Jordan
11130,1993,Andrew Lang
11204,1993,Kenny Payne
11211,1993,Tim Perry
11266,1993,Charles Shackleford
11315,1993,Clarence Weatherspoon
11326,1993,Eddie Lee
11380,1994,Isaac Austin
11388,1994,Dana Barros
11401,1994,Manute Bol
11406,1994,Shawn Bradley
11463,1994,Michael Curry
11471,1994,Johnny Dawkins
11485,1994,Bill Edwards
11522,1994,Greg Graham
11532,1994,Sean Green
11558,1994,Jeff Hornacek
11596,1994,Warren Kidd
11613,1994,Eric Leckner
11640,1994,Jeff Malone
11642,1994,Moses Malone*
11706,1994,Tim Perry
11794,1994,Clarence Weatherspoon
11835,1994,Orlando Woolridge
11842,1995,Alaa Abdelnaby
11848,1995,Derrick Alston
11862,1995,Dana Barros
11883,1995,Shawn Bradley
11897,1995,Willie Burton
11926,1995,Lloyd Daniels
11977,1995,Alphonso Ford
11982,1995,Corey Gaines
11991,1995,Greg Graham
11998,1995,Jeff Grayer
12011,1995,Jerome Harmon
12036,1995,Jaren Jackson
12088,1995,Jeff Malone
12151,1995,Tim Perry
12164,1995,Kevin Pritchard
12247,1995,B.J. Tyler
12255,1995,Clarence Weatherspoon
12278,1995,Scott Williams
12290,1995,Sharone Wright
12298,1996,Derrick Alston
12326,1996,Elmer Bennett
12338,1996,Shawn Bradley
12347,1996,Mike Brown
12376,1996,Derrick Coleman
12416,1996,Richard Dumas
12463,1996,Greg Graham
12472,1996,Greg Grant
12500,1996,Sean Higgins
12571,1996,Jeff Malone
12587,1996,Tony Massenburg
12588,1996,Vernon Maxwell
12655,1996,Tim Perry
12664,1996,Ed Pinckney
12711,1996,Trevor Ruffin
12729,1996,Scott Skiles
12753,1996,Jerry Stackhouse
12763,1996,Greg Sutton
12768,1996,LaSalle Thompson
12784,1996,Rex Walters
12787,1996,Clarence Weatherspoon
12814,1996,Scott Williams
12822,1996,Trevor Wilson
12835,1996,Sharone Wright
12888,1997,Mark Bradtke
12910,1997,Michael Cage
12913,1997,Adrian Caldwell
12936,1997,Derrick Coleman
12941,1997,Joe Courtney
12961,1997,Mark Davis
13054,1997,Lucious Harris
13060,1997,Mark Hendrickson
13076,1997,Allen Iverson*
13108,1997,Frankie King
13140,1997,Don MacLean
13226,1997,Doug Overton
13331,1997,Jerry Stackhouse
13368,1997,Rex Walters
13373,1997,Clarence Weatherspoon
13399,1997,Scott Williams
13450,1998,Benoit Benjamin
13501,1998,Tom Chambers
13508,1998,Derrick Coleman
13518,1998,Terry Cummings
13522,1998,William Cunningham
13535,1998,Mark Davis
13636,1998,Allen Iverson*
13640,1998,Jim Jackson
13713,1998,Aaron McKie
13725,1998,Eric Montross
13753,1998,Doug Overton
13756,1998,Anthony Parker
13780,1998,Theo Ratliff
13836,1998,Brian Shaw
13846,1998,Joe Smith
13855,1998,Eric Snow
13859,1998,Jerry Stackhouse
13863,1998,Kebu Stewart
13889,1998,Tim Thomas
13914,1998,Rex Walters
13919,1998,Clarence Weatherspoon
13946,1998,Scott Williams
13994,1999,Benoit Benjamin
14128,1999,Matt Geiger
14133,1999,Harvey Grant
14164,1999,Tyrone Hill
14168,1999,Jerald Honeycutt
14174,1999,Larry Hughes
14177,1999,Allen Iverson*
14228,1999,George Lynch
14234,1999,Rick Mahorn
14258,1999,Aaron McKie
14272,1999,Nazr Mohammed
14305,1999,Doug Overton
14308,1999,Anthony Parker
14333,1999,Theo Ratliff
14376,1999,Casey Shaw
14388,1999,Eric Snow
14411,1999,Tim Thomas
14456,1999,Scott Williams
14518,2000,Bruce Bowen
14521,2000,Ira Bowman
14639,2000,Matt Geiger
14672,2000,Tyrone Hill
14681,2000,Larry Hughes
14685,2000,Allen Iverson*
14711,2000,Jumaine Jones
14729,2000,Toni Kukoc
14735,2000,Antonio Lang
14747,2000,George Lynch
14748,2000,Todd MacCulloch
14774,2000,Aaron McKie
14789,2000,Nazr Mohammed
14810,2000,Kevin Ollie
14816,2000,Billy Owens
14844,2000,Theo Ratliff
14856,2000,Stanley Roberts
14883,2000,Eric Snow
14994,2001,Raja Bell
15032,2001,Rodney Buford
15138,2001,Matt Geiger
15174,2001,Tyrone Hill
15186,2001,Allen Iverson*
15209,2001,Jumaine Jones
15226,2001,Toni Kukoc
15245,2001,George Lynch
15246,2001,Todd MacCulloch
15265,2001,Vernon Maxwell
15276,2001,Aaron McKie
15279,2001,Roshown McLeod
15291,2001,Anthony Miller
15300,2001,Nazr Mohammed
15316,2001,Dikembe Mutombo*
15336,2001,Kevin Ollie
15378,2001,Theo Ratliff
